Steven Rivera$Ironfen Family II$Samuel Reed                                      $1{Richard Stone,Kevin White,Kevin Bailey,Kevin Collins,Jeffrey Baker,wGJwmH.hh.ywwkWIxBqjl WIjpwRBWqddotElva}$Steven Collins|Justin Collins|Larry Adams|Gary Bailey|Donald Roberts|Brian Bailey|Kenneth Campbell|Robert Miller|Joseph Bell|Benjamin Miller|Kevin Young|Mark Sanchez|Robert Wright|Samuel Reed
Anthony Parker$Frostshade Family$Paul Stewart                                     $3{Timothy Turner,Edward Howard,Joshua Perez,Stephen Reed,Kevin Collins,UgriroFgYZYwPB tkTefw CWdjV,Brian Reed,Steven Rivera,Jason Walker,Donald Roberts,James Bell}$Brian Campbell|Benjamin Miller|Paul Stewart
Edward Howard$Ashenfen Family$Donald Harris                                    $5{Jason Young,Mwe -aeBpYaJrGuRzQjjmPlsAITS,Steven Rivera,Joshua Perez,Gary Phillips,Stephen Reed,Donald Nelson}$Samuel Reed|Paul Stewart|Timothy Turner|Justin Collins|Richard Harris|Donald Harris|Larry Adams|James Bell|Jeffrey Baker|Joseph Bell|Jason Adams
Jason Adams$Crowfall Family$Joseph Campbell                                  $8{Gary Phillips,Donald Nelson,Benjamin Miller,Jeffrey Scott,Jason Walker,Brian Bailey,Donald Harris,Stephen Bailey,Kevin Bailey,Gary Reed,Larry Adams,zHHZAKWIR ieexXzySJBDhjak-EtawlwkvomuKjLlSfD,Kevin Cook,Robert Baker,Ronald Reed,Brian Campbell,Mark Sanchez,Donald Roberts}$Robert Miller|Paul Stewart|James Bell|Richard Harris
Steven Roberts$Grimmoor Family$Steven Collins                                   $2{Gary Bailey,ckstMdHyMxYvHwwhBbmGTeyeiriHIBFmamTbEbNFMmBIWmr }$Jason Walker|Stephen Reed|Justin Bell|Gary Phillips|Charles Bailey|Timothy Turner|Anthony Parker|Joseph Campbell|Steven Collins|Robert Miller|Jeffrey Morris|Joseph Bell|Jason Roberts|Kevin White|Jason Adams|Brian Campbell|Charles Murphy|Scott Perez|Kevin Young
Jason Roberts$Wraithfen Family$William Young                                    $4{Joseph Bell,Justin Bell,Scott Perez,Ronald Reed,Robert Baker,Kevin Collins,Kenneth Hill,Timothy Turner,Jeffrey Baker,Jason Walker,Gary Bailey,Steven Rivera,Jacob Carter,Samuel Reed,sUj-hJBfhcXHsddwQlEZkfeuwedodhJXBuKZ,George Campbell,Larry Adams,Paul Stewart}$Gary Phillips|Brian Reed
Justin Bell$Thornwick Family$Jeffrey Baker                                    $0{Gary Reed,Steven Roberts,Jeffrey Scott,Jeffrey Morris,Steven Collins,Richard Harris,Jason Young,AL.gFxLk eFkqJSAXXCczWhVhRXHF,Gary Phillips,Kevin White,Brian Reed,Robert Miller,Benjamin Miller,Timothy Turner}$Scott Perez|Brian Campbell|Kevin Bailey|Stephen Reed|Kevin Collins|Gary Bailey|Donald Nelson|Justin Collins|Kevin Young|Larry Adams|Justin Campbell|Charles Bailey|Jacob Carter|Kevin Perez|Ronald Reed|Brian Bailey|George Campbell|Kevin Cook
Paul Stewart$Blackfen Family II$Edward Howard                                    $6{Larry Adams,Gary Phillips,Joseph Campbell,Kevin Collins,hquEhKsDtwm- iuLMrzrWrvAIlLh..sirmcZ,Jason Young,Richard Stone,Jeffrey Baker,Samuel Reed,Timothy Turner,Charles Murphy,George Campbell,Justin Campbell,Steven Collins,Donald Roberts,Gary Reed,Joshua Perez,Kenneth Campbell}$Stephen Bailey|Anthony Parker|Edward Howard|Mark Sanchez|Jeffrey Scott|Jason Walker|Jeffrey Bell|Kevin Perez|Donald Harris|Jason Adams|Benjamin Miller|James Bell|Justin Bell|Robert Baker|Jacob Carter|Jeffrey Morris|Kevin Young|Richard Harris|Ronald Reed
Justin Collins$Duskborne Family$Steven Roberts                                   $2{Mark Sanchez,Steven Rivera,Donald Harris,Benjamin Miller,Richard Stone,Timothy Turner,Joseph Bell,Kenneth Campbell,Jason Young,William Young,Jason Walker,WBAKx.fMfkTTaldSEfVCIAPXsEEGovIzyLyi.SxUCQp,Brian Bailey,Robert Baker,Kevin Collins,Edward Howard}$Jason Adams|Robert Miller|Anthony Parker|Brian Campbell|Jeffrey Morris|Kevin Cook|Brian Reed|Joshua Perez|Steven Collins|Robert Wright|Steven Roberts|Ronald Reed|Kevin Bailey|Justin Campbell|Jeffrey Baker|Charles Bailey|James Bell
Stephen Bailey$Gravewick Family$Brian Bailey                                     $1{Steven Collins,Joseph Campbell,yDxqyBymlHZYHYGIrsevIHN.P-krwZQvRNlQQkrrgRPp,Joshua Perez,George Campbell}$Jason Adams|Kevin Perez|Paul Stewart|Kevin Cook|Larry Adams|Steven Rivera|Gary Phillips|Charles Bailey|Kevin White|Ronald Reed|Kevin Collins|Samuel Reed|Joseph Bell|Kevin Young|Jason Roberts|Kenneth Hill
Justin Campbell$Viperidge Family$Timothy Turner                                   $8{Steven Rivera,David Edwards,George Campbell,NSBdSbJCpazHpkZuIQldWpT.AGWFMwHbh,Brian Campbell,Donald Roberts,Kevin White,Jason Roberts,Robert Miller,Richard Harris,Justin Bell,Brian Reed}$William Young|Steven Roberts|Benjamin Miller|Stephen Reed|Charles Murphy|Kenneth Hill|Richard Stone|Jason Young|Jeffrey Morris|Gary Reed|Robert Baker|Jeffrey Bell|Kenneth Campbell|Jason Adams|Larry Adams|Jacob Carter|Kevin Bailey
